Item Type,Item ID,Group,Res #,Title,URL,Difficulty,Reading Time,Why Read,Important Sections,Source File
Module,00-03,00-Foundations,1,"FastAPI Documentation",https://fastapi.tiangolo.com/,"Intro","45 min","API layer for decision support","Tutorial; dependency injection; file uploads",Modules/00-Foundations/00-03-BankCo-Decision-Support-Warmup.md
Module,00-03,00-Foundations,2,"Pydantic Documentation",https://docs.pydantic.dev/latest/,"Intro","45 min","Spreadsheet row validation","Models; validators; JSON schema",Modules/00-Foundations/00-03-BankCo-Decision-Support-Warmup.md
Module,00-03,00-Foundations,3,"OpenAI API Documentation",https://developers.openai.com/api/docs/,"Intro","60 min","Draft edge integration","Responses API; prompt best practices",Modules/00-Foundations/00-03-BankCo-Decision-Support-Warmup.md
Module,00-03,00-Foundations,4,"OpenAI Prompt Engineering",https://developers.openai.com/api/docs/guides/prompt-engineering,"Intro","45 min","Constrain drafts to offer language","Clear instructions; evaluation",Modules/00-Foundations/00-03-BankCo-Decision-Support-Warmup.md
Module,00-03,00-Foundations,5,"OWASP Top 10 for LLM Applications",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Intermediate","60 min","Regulated assistant threat model","LLM01 injection; excessive agency",Modules/00-Foundations/00-03-BankCo-Decision-Support-Warmup.md
Module,01-01,01-LLM-Engineering,1,"Attention Is All You Need",https://arxiv.org/abs/1706.03762,"Advanced","60–90 min","Original architecture; shared vocabulary","§3 Model Architecture; §3.2 Attention",Modules/01-LLM-Engineering/01-01-Transformer-Architecture.md
Module,01-01,01-LLM-Engineering,2,"Hugging Face Transformers Docs",https://huggingface.co/docs/transformers/en/index,"Intro–Intermediate","45 min","Production model APIs & config objects","Quickstart; Model docs; Generation",Modules/01-LLM-Engineering/01-01-Transformer-Architecture.md
Module,01-01,01-LLM-Engineering,3,"HF NLP Course Ch.1",https://huggingface.co/learn/nlp-course/chapter1/1,"Intro","30 min","Gentle transformer intuition for engineers","Transformer models section",Modules/01-LLM-Engineering/01-01-Transformer-Architecture.md
Module,01-01,01-LLM-Engineering,4,"OpenAI Production Best Practices",https://developers.openai.com/api/docs/guides/production-best-practices,"Intermediate","40 min","Latency/cost tied to token generation physics","Improving latencies; Managing costs",Modules/01-LLM-Engineering/01-01-Transformer-Architecture.md
Module,01-01,01-LLM-Engineering,5,"RoFormer (RoPE paper)",https://arxiv.org/abs/2104.09864,"Advanced","45 min","Deep dive on rotary embeddings","RoPE formulation (optional)",Modules/01-LLM-Engineering/01-01-Transformer-Architecture.md
Module,01-01,01-LLM-Engineering,6,"Training Compute-Optimal LLMs (Chinchilla)",https://arxiv.org/abs/2203.15556,"Advanced","60 min","Scaling laws for sizing decisions","Abstract; compute-optimal frontier",Modules/01-LLM-Engineering/01-01-Transformer-Architecture.md
Module,01-02,01-LLM-Engineering,1,"tiktoken (OpenAI BPE)",https://github.com/openai/tiktoken,"Intro","20 min","Exact OpenAI token counting","README; `encoding_for_model`",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-02,01-LLM-Engineering,2,"OpenAI Text Generation Guide",https://developers.openai.com/api/docs/guides/text-generation,"Intro","45 min","Official context & message semantics","Max tokens; message roles",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-02,01-LLM-Engineering,3,"Anthropic Context Windows",https://platform.claude.com/docs/en/docs/build-with-claude/context-windows,"Intermediate","40 min","Context rot, thinking tokens, compaction","What counts; overflow behavior",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-02,01-LLM-Engineering,4,"Gemini Long Context",https://ai.google.dev/gemini-api/docs/long-context,"Intermediate","30 min","Multimodal long-context constraints","Limits; best practices",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-02,01-LLM-Engineering,5,"Attention Is All You Need",https://arxiv.org/abs/1706.03762,"Advanced","60 min","Why prefill scales with sequence² — ties to [01-01](01-01-Transformer-Architecture.md)","Multi-head attention",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-02,01-LLM-Engineering,6,"Lost in the Middle (Liu et al.)",https://arxiv.org/abs/2307.03172,"Intermediate","45 min","Evidence for long-context recall limits","Experiments on placement",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-02,01-LLM-Engineering,7,"Neural Machine Translation by Jointly Learning to Align and Translate",https://arxiv.org/abs/1409.0473,"Advanced","Optional","Historical attention intuition","Attention mechanism",Modules/01-LLM-Engineering/01-02-Tokenization-Context-Windows.md
Module,01-03,01-LLM-Engineering,1,"vLLM Documentation",https://docs.vllm.ai/en/latest/,"Intermediate","60 min","Official serving flags, APIs, schedulers","Installation; OpenAI server; optimization",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-03,01-LLM-Engineering,2,"vLLM GitHub",https://github.com/vllm-project/vllm,"Intermediate","30 min","Issue tracker, release notes, examples","README; performance tips",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-03,01-LLM-Engineering,3,"Ollama GitHub",https://github.com/ollama/ollama,"Intro","20 min","Local model pull/run workflow","API; modelfiles",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-03,01-LLM-Engineering,4,"HF Quantization",https://huggingface.co/docs/transformers/en/main_classes/quantization,"Intermediate","45 min","GPTQ/AWQ/BnB overview","Method comparison tables",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-03,01-LLM-Engineering,5,"TensorRT-LLM",https://developer.nvidia.com/tensorrt-llm,"Advanced","45 min","When compiled NVIDIA stacks win","Quick start; perf guides",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-03,01-LLM-Engineering,6,"PagedAttention paper (vLLM)",https://arxiv.org/abs/2309.06180,"Advanced","45 min","Primary source for paging intuition","§3 Memory management",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-03,01-LLM-Engineering,7,"Speculative Decoding",https://arxiv.org/abs/2211.17192,"Advanced","30 min","Draft/verify mental model","Algorithm 1",Modules/01-LLM-Engineering/01-03-Inference-Serving-vLLM.md
Module,01-04,01-LLM-Engineering,1,"LiteLLM Documentation",https://docs.litellm.ai/docs/,"Intro","45 min","Canonical API and proxy reference","Router; Proxy; Provider list",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,2,"LiteLLM GitHub",https://github.com/BerriAI/litellm,"Intro","20 min","Source, issues, release notes","Router examples; config samples",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,3,"Router — Load Balancing",https://docs.litellm.ai/docs/routing,"Intermediate","40 min","Fallbacks, cooldowns, strategies","Routing strategies; fallbacks",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,4,"Proxy — Load Balancing",https://docs.litellm.ai/docs/proxy/load_balancing,"Intermediate","30 min","Production proxy setup","Redis; router_settings",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,5,"Budget Routing",https://docs.litellm.ai/docs/proxy/provider_budget_routing,"Intermediate","25 min","Provider spend caps","provider_budget_config",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,6,"Budget Fallbacks",https://docs.litellm.ai/docs/proxy/budget_fallbacks,"Intermediate","20 min","Step-down on key budgets","budget_fallbacks chains",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,7,"OpenAI API Documentation",https://developers.openai.com/api/docs/,"Intro","60 min","Baseline OpenAI-compatible contract","Chat Completions; models",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-04,01-LLM-Engineering,8,"Anthropic API Overview",https://docs.anthropic.com/en/api/overview,"Intro","45 min","Claude routing strings","Messages API; models",Modules/01-LLM-Engineering/01-04-Model-Routing-LiteLLM.md
Module,01-05,01-LLM-Engineering,1,"OpenAI API Documentation",https://developers.openai.com/api/docs/,"Intro","60 min","Canonical Responses + tools reference","Responses API; structured outputs; streaming",Modules/01-LLM-Engineering/01-05-Provider-SDKs-OpenAI-Claude-Gemini.md
Module,01-05,01-LLM-Engineering,2,"OpenAI Python SDK",https://github.com/openai/openai-python,"Intro","30 min","`responses.parse`, streaming helpers","helpers.md; examples",Modules/01-LLM-Engineering/01-05-Provider-SDKs-OpenAI-Claude-Gemini.md
Module,01-05,01-LLM-Engineering,3,"Anthropic API Overview",https://platform.claude.com/docs/en/api/overview,"Intro","45 min","Messages API mental model","Messages; tool use; streaming",Modules/01-LLM-Engineering/01-05-Provider-SDKs-OpenAI-Claude-Gemini.md
Module,01-05,01-LLM-Engineering,4,"Anthropic Python SDK",https://github.com/anthropics/anthropic-sdk-python,"Intro","30 min","Typed messages + stream context managers","README; streaming",Modules/01-LLM-Engineering/01-05-Provider-SDKs-OpenAI-Claude-Gemini.md
Module,01-05,01-LLM-Engineering,5,"Gemini API Docs",https://ai.google.dev/gemini-api/docs,"Intro","45 min","Structured output + function calling","generateContent; tools; JSON schema",Modules/01-LLM-Engineering/01-05-Provider-SDKs-OpenAI-Claude-Gemini.md
Module,01-05,01-LLM-Engineering,6,"Google GenAI Python SDK",https://github.com/googleapis/python-genai,"Intro","30 min","`Client`, `types`, async patterns","README; samples",Modules/01-LLM-Engineering/01-05-Provider-SDKs-OpenAI-Claude-Gemini.md
Module,02-01,02-Prompt-Engineering,1,"OpenAI Prompt Engineering Guide",https://developers.openai.com/api/docs/guides/prompt-engineering,"Intro","45 min","Official tactics for roles and iteration","Message roles; clear instructions; split tasks",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-01,02-Prompt-Engineering,2,"OpenAI Structured Outputs",https://developers.openai.com/api/docs/guides/structured-outputs,"Intermediate","40 min","Bridge to 02-02; CoT schemas","Pydantic parsing; refusals; when to use",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-01,02-Prompt-Engineering,3,"promptfoo Intro",https://www.promptfoo.dev/docs/intro/,"Intro","20 min","Eval-driven workflow","Workflow; matrix evals; CI usage",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-01,02-Prompt-Engineering,4,"OpenAI Function Calling",https://developers.openai.com/api/docs/guides/function-calling,"Intermediate","40 min","Tools as prompt contracts (preview for 02-02)","Tool definitions; structured outputs overlap",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-01,02-Prompt-Engineering,5,"Anthropic Tool Use",https://platform.claude.com/docs/en/docs/build-with-claude/tool-use,"Intermediate","35 min","Cross-provider prompt patterns","Tool choice; system prompts",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-01,02-Prompt-Engineering,6,"Chain-of-Thought Prompting (paper)",https://arxiv.org/abs/2201.11903,"Advanced","45 min","When CoT helps reasoning","Method; limitations",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-01,02-Prompt-Engineering,7,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Intermediate","60 min","Jailbreak/injection context","LLM01 Prompt Injection",Modules/02-Prompt-Engineering/02-01-Production-Prompt-Engineering.md
Module,02-02,02-Prompt-Engineering,1,"OpenAI Structured Outputs",https://developers.openai.com/api/docs/guides/structured-outputs,"Intermediate","40 min","Primary pattern for typed responses","Pydantic; refusals; vs function calling",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,02-02,02-Prompt-Engineering,2,"OpenAI Function Calling",https://developers.openai.com/api/docs/guides/function-calling,"Intermediate","45 min","Tool loop mechanics","Strict schemas; tool choice; Responses API",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,02-02,02-Prompt-Engineering,3,"Anthropic Tool Use",https://platform.claude.com/docs/en/docs/build-with-claude/tool-use,"Intermediate","40 min","Claude integration","input_schema; tool results",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,02-02,02-Prompt-Engineering,4,"Gemini Function Calling",https://ai.google.dev/gemini-api/docs/function-calling,"Intermediate","35 min","Google integration","functionDeclarations; parallel calls",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,02-02,02-Prompt-Engineering,5,"promptfoo Intro",https://www.promptfoo.dev/docs/intro/,"Intro","20 min","Cross-provider eval","Matrix testing workflow",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,02-02,02-Prompt-Engineering,6,"OpenAI Prompt Engineering",https://developers.openai.com/api/docs/guides/prompt-engineering,"Intro","30 min","Tool description craft","Clear instructions",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,02-02,02-Prompt-Engineering,7,"JSON Schema Spec",https://json-schema.org/learn/getting-started-step-by-step,"Intermediate","45 min","Schema limits","Types; required; enums",Modules/02-Prompt-Engineering/02-02-Structured-Outputs-Tool-Calling.md
Module,03-01,03-Agentic-Fundamentals,1,"LangGraph High-Level Concepts",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Intro","25 min","Official mental model for graphs + persistence","Benefits; state; compile",Modules/03-Agentic-Fundamentals/03-01-Agent-Anatomy-and-Loop.md
Module,03-01,03-Agentic-Fundamentals,2,"LangGraph Memory",https://langchain-ai.github.io/langgraph/concepts/memory/,"Intermediate","30 min","Short vs long-term in graph terms","Memory types; when to summarize",Modules/03-Agentic-Fundamentals/03-01-Agent-Anatomy-and-Loop.md
Module,03-01,03-Agentic-Fundamentals,3,"LangGraph Persistence",https://langchain-ai.github.io/langgraph/concepts/persistence/,"Intermediate","30 min","Checkpointing threads","Checkpointers; thread_id",Modules/03-Agentic-Fundamentals/03-01-Agent-Anatomy-and-Loop.md
Module,03-01,03-Agentic-Fundamentals,4,"LangChain Tools",https://python.langchain.com/docs/concepts/tools/,"Intro","20 min","Tool contracts for Act phase","Tool definition; binding",Modules/03-Agentic-Fundamentals/03-01-Agent-Anatomy-and-Loop.md
Module,03-01,03-Agentic-Fundamentals,5,"ReAct Paper",https://arxiv.org/abs/2210.03629,"Intermediate","45 min","Original Think-Act-Observe","Figures; prompting templates",Modules/03-Agentic-Fundamentals/03-01-Agent-Anatomy-and-Loop.md
Module,03-02,03-Agentic-Fundamentals,1,"LangChain Tools",https://python.langchain.com/docs/concepts/tools/,"Intro","25 min","Tool definition + binding","Creating tools; toolkits",Modules/03-Agentic-Fundamentals/03-02-Tools-Memory-Control-Flow.md
Module,03-02,03-Agentic-Fundamentals,2,"LangGraph Memory",https://langchain-ai.github.io/langgraph/concepts/memory/,"Intermediate","35 min","STM/LTM patterns","Memory types; summarization",Modules/03-Agentic-Fundamentals/03-02-Tools-Memory-Control-Flow.md
Module,03-02,03-Agentic-Fundamentals,3,"LangGraph Persistence",https://langchain-ai.github.io/langgraph/concepts/persistence/,"Intermediate","35 min","Checkpointers deep dive","Threads; interrupts",Modules/03-Agentic-Fundamentals/03-02-Tools-Memory-Control-Flow.md
Module,03-02,03-Agentic-Fundamentals,4,"LangGraph High-Level",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Intro","25 min","Control flow primitives","StateGraph; compile",Modules/03-Agentic-Fundamentals/03-02-Tools-Memory-Control-Flow.md
Module,03-02,03-Agentic-Fundamentals,5,"ReAct Paper",https://arxiv.org/abs/2210.03629,"Intermediate","45 min","Why observations matter","Action-observation cycles",Modules/03-Agentic-Fundamentals/03-02-Tools-Memory-Control-Flow.md
Module,03-03,03-Agentic-Fundamentals,1,"LangGraph High Level",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Intro","25 min","Persistence + HITL foundation for patterns","Benefits; state; checkpointers",Modules/03-Agentic-Fundamentals/03-03-Agentic-Design-Patterns.md
Module,03-03,03-Agentic-Fundamentals,2,"LangGraph Human-in-the-Loop",https://langchain-ai.github.io/langgraph/concepts/human_in_the_loop/,"Intermediate","30 min","Interrupt/resume semantics","Breakpoints; approve/edit",Modules/03-Agentic-Fundamentals/03-03-Agentic-Design-Patterns.md
Module,03-03,03-Agentic-Fundamentals,3,"ReAct Paper",https://arxiv.org/abs/2210.03629,"Intermediate","45 min","Original Think-Act-Observe","Examples; synergy",Modules/03-Agentic-Fundamentals/03-03-Agentic-Design-Patterns.md
Module,03-03,03-Agentic-Fundamentals,4,"LangSmith",https://docs.langchain.com/langsmith/home,"Intro","20 min","Trace routes and tool loops","Projects; runs; feedback",Modules/03-Agentic-Fundamentals/03-03-Agentic-Design-Patterns.md
Module,03-04,03-Agentic-Fundamentals,1,"LangGraph High Level",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Intro","25 min","Runtime mental model","Persistence; compile",Modules/03-Agentic-Fundamentals/03-04-LangGraph-Production-Agents.md
Module,03-04,03-Agentic-Fundamentals,2,"Human-in-the-Loop",https://langchain-ai.github.io/langgraph/concepts/human_in_the_loop/,"Intermediate","35 min","Interrupt/resume","Breakpoints; Command",Modules/03-Agentic-Fundamentals/03-04-LangGraph-Production-Agents.md
Module,03-04,03-Agentic-Fundamentals,3,"Streaming",https://langchain-ai.github.io/langgraph/concepts/streaming/,"Intermediate","30 min","UX + debugging","stream_mode options",Modules/03-Agentic-Fundamentals/03-04-LangGraph-Production-Agents.md
Module,03-04,03-Agentic-Fundamentals,4,"Multi-Agent",https://langchain-ai.github.io/langgraph/concepts/multi_agent/,"Advanced","40 min","When to split graphs","Supervisor; handoffs",Modules/03-Agentic-Fundamentals/03-04-LangGraph-Production-Agents.md
Module,03-04,03-Agentic-Fundamentals,5,"LangSmith",https://docs.langchain.com/langsmith/home,"Intro","25 min","Trace production graphs","Projects; evaluations",Modules/03-Agentic-Fundamentals/03-04-LangGraph-Production-Agents.md
Module,04-01,04-RAG,1,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks",https://arxiv.org/abs/2005.11401,"Intermediate","45–60 min","Foundational RAG paper","Architecture; retriever + generator",Modules/04-RAG/04-01-RAG-Architecture.md
Module,04-01,04-RAG,2,"LlamaIndex Documentation",https://docs.llamaindex.ai/en/stable/,"Intro","30 min","Framework used in labs","Indexing; querying; agents",Modules/04-RAG/04-01-RAG-Architecture.md
Module,04-01,04-RAG,3,"LangChain RAG Concept",https://python.langchain.com/docs/concepts/rag/,"Intro","25 min","Alternate mental model","Indexing pipeline; retrieval",Modules/04-RAG/04-01-RAG-Architecture.md
Module,04-01,04-RAG,4,"Pinecone Getting Started",https://docs.pinecone.io/guides/get-started/overview,"Intro","20 min","Managed vector index concepts","Indexes; namespaces; metadata",Modules/04-RAG/04-01-RAG-Architecture.md
Module,04-01,04-RAG,5,"Cohere Rerank Overview",https://docs.cohere.com/docs/rerank-overview,"Intro","15 min","Precision layer preview for 04-03","When to rerank",Modules/04-RAG/04-01-RAG-Architecture.md
Module,04-01,04-RAG,6,"Microsoft GraphRAG",https://microsoft.github.io/graphrag/,"Advanced","45 min","Preview advanced grounding (04-04)","Indexing graphs; global search",Modules/04-RAG/04-01-RAG-Architecture.md
Module,04-02,04-RAG,1,"Retrieval-Augmented Generation (RAG)",https://arxiv.org/abs/2005.11401,"Intermediate","45 min","Original retrieve-then-generate framing","Retriever design motivation",Modules/04-RAG/04-02-Chunking-Metadata-Embeddings.md
Module,04-02,04-RAG,2,"LlamaIndex — Node Parser / Chunking",https://docs.llamaindex.ai/en/stable/,"Intro","30 min","Chunking APIs and patterns","Text splitters; metadata",Modules/04-RAG/04-02-Chunking-Metadata-Embeddings.md
Module,04-02,04-RAG,3,"LangChain RAG Concept",https://python.langchain.com/docs/concepts/rag/,"Intro","25 min","Document loaders + splitters","Indexing steps",Modules/04-RAG/04-02-Chunking-Metadata-Embeddings.md
Module,04-02,04-RAG,4,"Pinecone — Metadata Filtering",https://docs.pinecone.io/guides/get-started/overview,"Intro","20 min","Why metadata matters at query time","Metadata; namespaces",Modules/04-RAG/04-02-Chunking-Metadata-Embeddings.md
Module,04-02,04-RAG,5,"Cohere Rerank Overview",https://docs.cohere.com/docs/rerank-overview,"Intro","15 min","Precision after chunk retrieval","Rerank role",Modules/04-RAG/04-02-Chunking-Metadata-Embeddings.md
Module,04-02,04-RAG,6,"Microsoft GraphRAG",https://microsoft.github.io/graphrag/,"Advanced","45 min","Beyond flat chunks (04-04)","Indexing pipeline",Modules/04-RAG/04-02-Chunking-Metadata-Embeddings.md
Module,04-03,04-RAG,1,"RAG Paper",https://arxiv.org/abs/2005.11401,"Intermediate","45 min","Retriever quality drives generation","Retrieval component",Modules/04-RAG/04-03-Vector-DB-Hybrid-Search-Reranking.md
Module,04-03,04-RAG,2,"LlamaIndex — Vector Stores",https://docs.llamaindex.ai/en/stable/,"Intro","30 min","Integrations including Pinecone","Vector store index",Modules/04-RAG/04-03-Vector-DB-Hybrid-Search-Reranking.md
Module,04-03,04-RAG,3,"LangChain RAG",https://python.langchain.com/docs/concepts/rag/,"Intro","25 min","Retriever + document chain","Retrieval",Modules/04-RAG/04-03-Vector-DB-Hybrid-Search-Reranking.md
Module,04-03,04-RAG,4,"Pinecone Overview",https://docs.pinecone.io/guides/get-started/overview,"Intro","25 min","Indexes, metadata, query","Core concepts",Modules/04-RAG/04-03-Vector-DB-Hybrid-Search-Reranking.md
Module,04-03,04-RAG,5,"Cohere Rerank",https://docs.cohere.com/docs/rerank-overview,"Intro","20 min","Rerank API and use cases","How rerank works",Modules/04-RAG/04-03-Vector-DB-Hybrid-Search-Reranking.md
Module,04-03,04-RAG,6,"Microsoft GraphRAG",https://microsoft.github.io/graphrag/,"Advanced","45 min","Graph-based retrieval alternative","Query modes",Modules/04-RAG/04-03-Vector-DB-Hybrid-Search-Reranking.md
Module,04-04,04-RAG,1,"RAG Paper",https://arxiv.org/abs/2005.11401,"Intermediate","45 min","Baseline to compare against","Full pipeline",Modules/04-RAG/04-04-Advanced-RAG-HyDE-GraphRAG.md
Module,04-04,04-RAG,2,"LlamaIndex Docs",https://docs.llamaindex.ai/en/stable/,"Intro–Advanced","45 min","Agentic query engines","Agents; query pipelines",Modules/04-RAG/04-04-Advanced-RAG-HyDE-GraphRAG.md
Module,04-04,04-RAG,3,"LangChain RAG",https://python.langchain.com/docs/concepts/rag/,"Intro","25 min","Multi-query / advanced retrievers","Advanced patterns",Modules/04-RAG/04-04-Advanced-RAG-HyDE-GraphRAG.md
Module,04-04,04-RAG,4,"Pinecone Overview",https://docs.pinecone.io/guides/get-started/overview,"Intro","20 min","Vector foundation for all modes","Query concepts",Modules/04-RAG/04-04-Advanced-RAG-HyDE-GraphRAG.md
Module,04-04,04-RAG,5,"Cohere Rerank",https://docs.cohere.com/docs/rerank-overview,"Intro","15 min","Post-retrieval merge quality","API usage",Modules/04-RAG/04-04-Advanced-RAG-HyDE-GraphRAG.md
Module,04-04,04-RAG,6,"Microsoft GraphRAG",https://microsoft.github.io/graphrag/,"Advanced","60 min","Graph indexing + query modes","Indexing; local/global search",Modules/04-RAG/04-04-Advanced-RAG-HyDE-GraphRAG.md
Module,05-01,05-Multi-Agent,1,"LangGraph Multi-Agent Concepts",https://langchain-ai.github.io/langgraph/concepts/multi_agent/,"Intermediate","45 min","Canonical orchestration primitives","State; handoffs; supervisor patterns",Modules/05-Multi-Agent/05-01-Multi-Agent-Orchestration.md
Module,05-01,05-Multi-Agent,2,"LangGraph Graph API",https://langchain-ai.github.io/langgraph/concepts/low_level/,"Intermediate","60 min","Checkpoints, Command, reducers","StateGraph; Command; recursion limit",Modules/05-Multi-Agent/05-01-Multi-Agent-Orchestration.md
Module,05-01,05-Multi-Agent,3,"AutoGen Framework",https://microsoft.github.io/autogen/stable//index.html,"Intermediate","30 min","Alternative orchestration model","AgentChat vs Core",Modules/05-Multi-Agent/05-01-Multi-Agent-Orchestration.md
Module,05-01,05-Multi-Agent,4,"CrewAI Documentation",https://docs.crewai.com/,"Intro","30 min","Role-based crew mental model","Agents; tasks; processes",Modules/05-Multi-Agent/05-01-Multi-Agent-Orchestration.md
Module,05-01,05-Multi-Agent,5,"MetaGPT (multi-agent paper)",https://arxiv.org/abs/2308.08155,"Advanced","45 min","Academic view of role specialization","Method; failure modes",Modules/05-Multi-Agent/05-01-Multi-Agent-Orchestration.md
Module,05-02,05-Multi-Agent,1,"LangGraph Multi-Agent",https://langchain-ai.github.io/langgraph/concepts/multi_agent/,"Intermediate","45 min","Handoffs, Send, subgraphs","Multi-agent architectures",Modules/05-Multi-Agent/05-02-Planner-Executor-Critic.md
